date;hospitalized_with_symptoms;intensive_care;total_hospitalized;home_isolation;positive_tests;new_positive_tests;discharged;deceased;total_cases;total_tests
24/02/2020;101;26;127;94;221;221;1;7;229;4324
25/02/2020;114;35;150;162;311;90;1;10;322;8623
26/02/2020;128;36;164;221;385;74;3;12;400;9587
27/02/2020;248;56;304;284;588;203;45;17;650;12014
28/02/2020;345;64;409;412;821;233;46;21;888;15695
29/02/2020;401;105;506;543;1049;228;50;29;1128;18661
01/03/2020;639;140;779;798;1577;528;83;34;1694;21127
02/03/2020;742;166;908;927;1835;258;149;52;2036;23345
03/03/2020;1034;229;1263;1000;2263;428;160;79;2502;25856
04/03/2020;1346;295;1641;1065;2706;443;276;107;3089;29837
05/03/2020;1790;351;2141;1155;3296;590;414;148;3858;32362
06/03/2020;2394;462;2856;1060;3916;620;523;197;4636;36359
07/03/2020;2651;567;3218;1843;5061;1145;589;233;5883;42062
08/03/2020;3557;650;4207;2180;6387;1326;622;366;7375;49937
09/03/2020;4316;733;5049;2936;7985;1598;724;463;9172;53826
10/03/2020;5038;877;5915;2599;8514;1837;1004;631;10149;60761
11/03/2020;5838;1028;6866;3724;10590;2076;1045;827;12462;73154
12/03/2020;6650;1153;7803;5036;12839;2249;1258;1016;15113;86011
13/03/2020;7426;1328;8754;6201;14955;2522;1439;1266;17660;97488
14/03/2020;8372;1518;9890;7860;17750;2795;1966;1441;21157;109170
15/03/2020;9663;1672;11335;9268;20603;2853;2335;1809;24747;124899
16/03/2020;11025;1851;12876;10197;23073;2470;2749;2158;27980;137962
17/03/2020;12894;2060;14954;11108;26062;2989;2941;2503;31506;148657
18/03/2020;14363;2257;16620;12090;28710;2648;4025;2978;35713;165541
19/03/2020;15757;2498;18255;14935;33190;4480;4440;3405;41035;182777
20/03/2020;16020;2655;18675;19185;37860;4670;5129;4032;47021;206886
21/03/2020;17708;2857;20565;22116;42681;4821;6072;4825;53578;233222
22/03/2020;19846;3009;22855;23783;46638;3957;7024;5476;59138;258402
23/03/2020;20692;3204;23896;26522;50418;3780;7432;6077;63927;275468
24/03/2020;21937;3396;25333;28697;54030;3612;8326;6820;69176;296964
25/03/2020;23112;3489;26601;30920;57521;3491;9362;7503;74386;324445
26/03/2020;24753;3612;28365;33648;62013;4492;10361;8165;80539;361060
27/03/2020;26029;3732;29761;36653;66414;4401;10950;9134;86498;394079
28/03/2020;26676;3856;30532;39533;70065;3651;12384;10023;92472;429526
29/03/2020;27386;3906;31292;42588;73880;3815;13030;10779;97689;454030
30/03/2020;27795;3981;31776;43752;75528;1648;14620;11591;101739;477359
