Date;TotalView_24h;TotalView
08/03/2020;509274;509274
09/03/2020;607409;1116683
10/03/2020;646482;1763165
11/03/2020;556636;2319801
12/03/2020;601629;2921430
13/03/2020;491947;3413377
14/03/2020;690693;4104070
15/03/2020;650444;4754514
16/03/2020;641561;5396075
17/03/2020;500739;5896814
18/03/2020;659221;6556035
19/03/2020;613899;7169934
20/03/2020;609863;7779797
21/03/2020;587907;8367704
22/03/2020;571422;8939126
23/03/2020;565386;9504512
24/03/2020;647467;10151979
25/03/2020;543614;10695593
26/03/2020;603820;11299413
27/03/2020;503095;11802508
28/03/2020;454584;12257092
29/03/2020;404226;12661318
30/03/2020;410097;13071415
31/03/2020;446221;13517636
01/04/2020;445849;13963485
02/04/2020;474834;14438319
03/04/2020;380855;14819174
04/04/2020;445849;15265023
05/04/2020;346782;15611805
06/04/2020;346256;15958061
07/04/2020;355052;16313113
08/04/2020;374838;16687951
09/04/2020;362884;17050835
10/04/2020;319184;17370019
11/04/2020;262762;17632781
12/04/2020;216254;17849035
13/04/2020;187691;18036726
14/04/2020;347590;18384316
15/04/2020;347590;18731906
16/04/2020;413636;19145542
17/04/2020;399386;19544928
18/04/2020;394765;19939693
19/04/2020;390203;20329896
20/04/2020;378904;20708800
21/04/2020;400024;21108824
22/04/2020;432455;21541279
23/04/2020;453347;21994626
24/04/2020;424241;22418867
25/04/2020;393338;22812205
26/04/2020;339721;23151926
27/04/2020;324911;23476837
28/04/2020;347090;23823927
29/04/2020;358597;24182524
30/04/2020;281952;24464476
01/05/2020;228345;24692821
02/05/2020;202907;24895728
03/05/2020;227825;25123553
04/05/2020;212465;25336018
05/05/2020;211102;25547120
06/05/2020;201209;25748329
07/05/2020;192058;25940387
08/05/2020;192971;26133358
09/05/2020;184253;26317611
10/05/2020;175969;26493580
11/05/2020;184885;26678465
12/05/2020;188575;26867040
13/05/2020;196899;27063939
14/05/2020;188675;27252614
15/05/2020;172594;27425208
16/05/2020;170143;27595351
17/05/2020;160174;27755525
18/05/2020;151440;27906965
19/05/2020;153526;28060491
20/05/2020;151983;28212474
21/05/2020;145177;28357651
22/05/2020;136018;28493669
23/05/2020;123061;28616730
24/05/2020;116542;28733272
25/05/2020;134373;28867645
26/05/2020;135006;29002651
27/05/2020;129562;29132213
28/05/2020;126648;29258861
29/05/2020;121510;29380371
30/05/2020;107539;29487910
31/05/2020;100362;29588272
01/06/2020;111904;29700176
02/06/2020;106440;29806616
03/06/2020;110922;29917538
04/06/2020;89780;30007318
05/06/2020;103041;30110359
06/06/2020;99532;30209891
07/06/2020;91266;30301157
08/06/2020;96315;30397472
09/06/2020;86853;30484325
10/06/2020;85207;30569532
11/06/2020;81256;30650788
12/06/2020;80261;30731049
13/06/2020;76106;30807155
14/06/2020;71685;30878840
15/06/2020;76920;30955760
